state,city,airport,locid,ownership,hub,role,Current,year5,enplaned,based,Devestimate
FL,Apalachicola,Apalachicola Regional-Cleve Randolph Field,AAF,PU,,Local,GA,GA,0,23,"$8,004,311"
FL,Arcadia,Arcadia Municipal,X06,PU,,Basic,GA,GA,0,14,"$6,662,334"
FL,Avon Park,Avon Park Executive,AVO,PU,,Local,GA,GA,0,37,"$3,861,590"
FL,Bartow,Bartow Municipal,BOW,PU,,Local,GA,GA,17,85,"$15,379,661"
FL,Belle Glade,Belle Glade State Municipal,X10,PU,,Basic,GA,GA,0,11,"$11,108,667"
FL,Blountstown,Calhoun County,F95,PU,,Basic,GA,GA,0,11,"$9,325,084"
FL,Boca Raton,Boca Raton,BCT,PU,,National,R,R,348,224,"$13,341,666"
FL,Bonifay,Tri-County,1J0,PU,,Local,GA,GA,0,19,"$8,109,297"
FL,Brooksville,Brooksville-Tampa Bay Regional,BKV,PU,,Regional,GA,GA,4,125,"$3,550,000"
FL,Cedar Key,George T Lewis,CDK,PU,,Basic,GA,GA,0,2,$0
FL,Clearwater,Clearwater Air Park,CLW,PU,,Local,R,R,0,78,"$1,600,000"
FL,Clewiston,Airglades,2IS,PU,,Local,GA,GA,0,18,"$1,478,889"
FL,Crestview,Bob Sikes,CEW,PU,,Regional,GA,GA,0,40,"$14,752,458"
FL,Cross City,Cross City,CTY,PU,,Basic,GA,GA,0,10,"$5,516,096"
FL,Crystal River,Crystal River-Captain Tom Davis Field,CGC,PU,,Regional,GA,GA,0,41,"$15,221,142"
FL,Daytona Beach,Daytona Beach International,DAB,PU,N,,P,P,"306,542",269,"$79,472,404"
FL,De Funiak Springs,Defuniak Springs,54J,PU,,Local,GA,GA,0,25,"$19,026,120"
FL,DeLand,DeLand Municipal-Sidney H Taylor Field,DED,PU,,Regional,R,R,0,190,"$13,369,444"
FL,Destin,Destin Executive,DTS,PU,,Regional,GA,GA,84,21,"$9,100,000"
FL,Dunnellon,Marion County,X35,PU,,Local,GA,GA,0,102,"$3,907,366"
FL,Everglades,Everglades Airpark,X01,PU,,Unclassified,GA,GA,0,7,$0
